,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
5954,170055826,17654,17654,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
5955,170065434,5889,5889,"Zeller And Associates, Llc",gzeller@zellerandassociates.com,School District,CHICAGO HEIGHTS,IL,90,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
5956,170050808,4964,4964,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
5957,170050808,4279,4279,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,0
5958,170050808,6931,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,6931
5959,170065592,74956,11631,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Switches,63325
5960,170050808,477,477,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,0
5961,170047844,8477,8477,"E2e Exchange, Llc",sdp@erateexchange.com,School District,MURPHYBORO,IL,30,Internal Connections,Cabling,0
5962,170056706,1080,1080,Ajd Consulting Services,4jdare@gmail.com,School District,KINMUNDY,IL,30,Internal Connections,Wap,0
5963,170050808,3503,3503,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Switches,0
5964,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Cabling,0
5965,170050808,42,42,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Cabling,0
5966,170072833,2778,2778,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST MOLINE,IL,30,Internet Access And/Or Telecommunications,Lit Fiber Service,0
5967,170051620,17280,17280,"Erateprogram, Llc",rsenturia@erateprogram.com,School District,GRAYVILLE,IL,80,Internet Access And/Or Telecommunications,Lit Fiber Service,0
5968,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internal Connections,Racks,107801
5969,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Basic Maintenance Of Internal Connections,Cabling,107801
5970,170050808,13904,10909,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,2995
5971,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",4277
5972,170082440,29959,19681,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",10278
5973,170061595,6653,6653,E-Rate Professional$.Com,ddietrich@e-rateprofessionals.com,School District,TUSCOLA,IL,60,Internal Connections,Router,0
5974,170067860,26317,26317,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Internal Connections,Wap,0
5975,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,0
5976,170064919,9331,9244,Btu Consultants,carol@btu-consultants.com,School,BELLEVILLE,IL,40,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,87
5977,170050808,1327,1327,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
5978,170065638,27208,26703,"E-Rate Funding Services, Llc",dave.erfs@att.net,School District,La Grange,IL,60,Basic Maintenance Of Internal Connections,Wap,505
5979,170050808,1728,1694,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,34
5980,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Switches,805
5981,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
5982,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Basic Maintenance Of Internal Connections,Switches,0
5983,170050808,2487,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,2487
5984,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",107801
5985,170058056,8640,8640,E Rate Solutions Group Inc,kweiss@erategroup.com,School District,NORMAL,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
5986,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Basic Maintenance Of Internal Connections,Switches,0
5987,170048863,28800,28800,Dave Berg,dberg918@mediacombb.net,School District,SHERRARD,IL,60,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
5988,170050808,6626,6626,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Caching,0
5989,170050808,7743,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,7743
5990,170050808,14326,4287,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",10039
5991,170050808,675,675,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,60,Basic Maintenance Of Internal Connections,Wap,0
5992,170050808,1950,1950,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
5993,170069211,123600,3600,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,60,Internet Access And/Or Telecommunications,Dark Fiber,120000
5994,170066268,4800,4800,"E2e Exchange, Llc",sdp@erateexchange.com,School District,PARIS,IL,80,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
5995,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Wap,0
5996,170050808,4279,4279,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
5997,170050808,6626,6626,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wireless Controller,0
5998,170050808,438,438,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
5999,170052549,194407,289666,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CHICAGO,IL,90,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,-95259
6000,170050808,4780,4780,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wireless Controller,0
6001,170050612,2300,2231,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ELMHURST,IL,40,Internal Connections,Ups/Battery Backup,69
6002,170050808,4724,4724,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Router,0
6003,170062257,3581,3581,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,DOWNERS GROVE,IL,50,Internal Connections,Switches,0
6004,170050808,1124,1124,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
6005,170076535,1987,1672,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Internal Connections,Ups/Battery Backup,315
6006,170047277,13654,13654,"E2e Exchange, Llc",sdp@erateexchange.com,School District,FARMER CITY,IL,70,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
6007,170062186,11362,11362,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,MINOOKA,IL,50,Internal Connections,Switches,0
6008,170066268,2717,2717,"E2e Exchange, Llc",sdp@erateexchange.com,School District,PARIS,IL,20,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
6009,170050808,4724,4724,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
6010,170056871,5400,5400,Ajd Consulting Services,4jdare@gmail.com,School District,THOMPSONVILLE,IL,90,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6011,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Caching,4277
6012,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,"Antennas, Connectors, And Related Components",0
6013,170050808,4647,4647,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,0
6014,170060090,600,600,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,FRANKFORT,IL,40,Basic Maintenance Of Internal Connections,Caching,0
6015,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6016,170050808,2424,2424,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,0
6017,170054759,134671,134671,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,BENSENVILLE,IL,60,Internal Connections,Ups/Battery Backup,0
6018,170068785,25221,25221,"Zeller And Associates, Llc",gzeller@zellerandassociates.com,School District,NORTH CHICAGO,IL,30,Internet Access And/Or Telecommunications,Cellular Voice,0
6019,170050808,240,240,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
6020,170050808,10622,7587,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,3035
6021,170050808,11029,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,11029
6022,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Wap,0
6023,170050808,3515,3515,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Router,0
6024,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,0
6025,170050808,9799,9799,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Router,0
6026,170050808,2990,2990,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
6027,170050808,3473,3473,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wap,0
6028,170082440,21817,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Switches,21817
6029,170050808,1786,1786,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",0
6030,170065638,27208,26703,"E-Rate Funding Services, Llc",dave.erfs@att.net,School District,La Grange,IL,60,Internal Connections,Wap,505
6031,170050808,4964,4964,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Switches,0
6032,170065638,11923,11923,"E-Rate Funding Services, Llc",dave.erfs@att.net,School District,La Grange,IL,60,Internal Connections,Wap,0
6033,170058374,2880,2880,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ALSIP,IL,80,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6034,170082440,878,783,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,20,Basic Maintenance Of Internal Connections,Switches,95
6035,170070679,8977,3366,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,VERNON HILLS,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,5611
6036,170067860,10470,10470,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Internal Connections,Cabling,0
6037,170050808,6300,3375,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Caching,2925
6038,170050808,11029,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,11029
6039,170050808,5031,5031,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,0
6040,170065592,74956,11631,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Firewall Service And Components,63325
6041,170052746,200,200,New Hope Technology Foundation,jhughes@newhopetech.org,School District,OAKWOOD,IL,10,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
6042,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,"Antennas, Connectors, And Related Components",0
6043,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Firewall Service And Components,805
6044,170076581,2069,2069,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Basic Maintenance Of Internal Connections,Switches,0
6045,170050808,4780,4780,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
6046,170077845,18182,18182,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,KANKAKEE,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6047,170050808,12168,12168,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40,Internal Connections,Switches,0
6048,170082440,265789,2897,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Ups/Battery Backup,262892
6049,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Racks,0
6050,170076197,1121,1121,Erate Compliance,info@eratecompliance.com,School District,MOMENCE,IL,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6051,170050612,1371,1371,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ELMHURST,IL,40,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
6052,170050808,2209,2209,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
6053,170067860,26317,26317,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Basic Maintenance Of Internal Connections,Switches,0
6054,170082440,10795,10795,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,"Antennas, Connectors, And Related Components",0
6055,170050808,3829,3829,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Caching,0
6056,170050808,6176,6176,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
6057,170063399,48011,48011,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70,Basic Maintenance Of Internal Connections,Wap,0
6058,170050612,3200,2998,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ELMHURST,IL,40,Internal Connections,Ups/Battery Backup,202
6059,170050808,1200,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,1200
6060,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
6061,170066372,63720,63720,E Rate Solutions Group Inc,kweiss@erategroup.com,School District,CENTERVILLE,IL,90,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6062,170067860,10470,6006,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Basic Maintenance Of Internal Connections,Caching,4464
6063,170050808,14326,4287,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,10039
6064,170075722,6723,6723,"Erateprogram, Llc",rsenturia@erateprogram.com,Consortium,Bensonville,IL,62,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6065,170050808,3871,3871,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,0
6066,170050808,9914,9914,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
6067,170050808,2297,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,2297
6068,170082440,67838,57608,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,10230
6069,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Switches,0
6070,170050808,5031,5031,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wap,0
6071,170050612,1371,1371,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ELMHURST,IL,40,Internal Connections,Ups/Battery Backup,0
6072,170058932,1012,1012,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,MUNDELEIN,IL,80,Internal Connections,Ups/Battery Backup,0
6073,170062186,11362,11362,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,MINOOKA,IL,50,Internal Connections,Switches,0
6074,170058034,3255,3255,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,JACKSONVILLE,IL,50,Internal Connections,Switches,0
6075,170082440,67838,57608,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Cabling,10230
6076,170073562,2131,2131,Btu Consultants,carol@btu-consultants.com,School District,URBANA,IL,30,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
6077,170065347,1317,1317,Funds For Learning,jharrington@fundsforlearning.com,School,CHICAGO,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6078,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Switches,0
6079,170072247,3960,3959,Getfunded,john.egan@getfunded.net,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,Cellular Voice,1
6080,170050808,1200,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,1200
6081,170074284,6201,6201,E-Rate Central,whimsworth@e-ratecentral.com,Consortium,ALBANY,NY,13,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
6082,170055888,12420,12420,E-Rate Central,whimsworth@e-ratecentral.com,Consortium,GARDEN CITY,NY,40,Internet Access And/Or Telecommunications,Lit Fiber Service,0
6083,170075436,10222,8644,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Internal Connections,Cabling,1578
6084,170075350,19096,19096,E-Rate Partners Llc,jessica.nilsen@eratepartners.com,Consortium,ELMIRA,NY,77,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6085,170047337,1147,956,"E2e Exchange, Llc",sdp@erateexchange.com,School District,CHAPPAQUA,NY,40,Basic Maintenance Of Internal Connections,Wap,191
6086,170075436,2463,0,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Managed Internal Broadband Services,Existing Equipment,2463
6087,170066720,33739,33739,Esc Region 12 E-Rate Consulting,gharwood@esc12.net,School District,SYRACUSE,NY,30,Basic Maintenance Of Internal Connections,Switches,0
6088,170054972,15300,0,E-Rate Advantage,rjs@erateadvantage.com,School District,New York,NY,80,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,15300
6089,170047540,16058,16058,"E2e Exchange, Llc",sdp@erateexchange.com,School District,HARTSDALE,NY,20,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
6090,170065188,440640,440640,Funds For Learning,jharrington@fundsforlearning.com,School District,NEW YORK,NY,80,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
6091,170054164,195,0,E-Rate Central,whimsworth@e-ratecentral.com,School District,MIDDLEBURGH,NY,20,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,195
6092,170047316,753,753,"E2e Exchange, Llc",sdp@erateexchange.com,School District,BRIARCLIFF MNR,NY,40,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
6093,170047846,575,575,"E2e Exchange, Llc",sdp@erateexchange.com,School,BRONX,NY,80,Internal Connections,"Antennas, Connectors, And Related Components",0
6094,170062031,754300,731672,Funds For Learning,jharrington@fundsforlearning.com,Consortium,NEW YORK,NY,90,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",22628
6095,170057243,900,900,Educate Llc,rrajasingham@educatellc.com,School,BRONX,NY,30,Basic Maintenance Of Internal Connections,Wap,0
6096,170051267,657,657,"Erateprogram, Llc",rsenturia@erateprogram.com,School,STATEN ISLAND,NY,40,Internal Connections,Router,0
6097,170047386,4203,4203,"E2e Exchange, Llc",sdp@erateexchange.com,School District,AUBURN,NY,60,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
6098,170072333,2340,2340,E-Rate Advantage,rjs@erateadvantage.com,School,BRONX,NY,30,Internal Connections,Cabling,0
6099,170074014,15093,15093,"Erateprogram, Llc",rsenturia@erateprogram.com,School,STATEN ISLAND,NY,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6100,170064120,1110,1110,E-Rate Consulting Llc,richard@erateconsulting.org,School,JAMAICA,NY,50,Internal Connections,Ups/Battery Backup,0
6101,170066428,3780,3780,Garber Consulting Group Llc,melissa@garbercg.com,School,NEW YORK,NY,90,Internal Connections,Switches,0
6102,170076231,7958,6968,E-Rate Partners Llc,jessica.nilsen@eratepartners.com,Consortium,ELMIRA,NY,90,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,990
6103,170057112,4320,4320,E Rate Solutions Group Inc,kweiss@erategroup.com,School District,HUDSON,NY,90,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6104,170074284,9408,9408,E-Rate Central,whimsworth@e-ratecentral.com,Consortium,ALBANY,NY,16,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6105,170069896,1072,1072,Teletech Associates Inc,john@teletechassociates.com,School,BROOKLYN,NY,60,Basic Maintenance Of Internal Connections,Wireless Controller,0
6106,170077903,10120,0,Chani Rosenzveig,chani.rosenzveig@hasc.net,School,BROOKLYN,NY,80,Internal Connections,Wireless Controller,10120
6107,170078999,76,76,E-Rate Partners Llc,jessica.nilsen@eratepartners.com,School District,CASTLETON,NY,20,Internal Connections,"Antennas, Connectors, And Related Components",0
6108,170077390,263,263,"Erateprogram, Llc",rsenturia@erateprogram.com,School,ELMSFORD,NY,40,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6109,170075436,2463,0,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Internal Connections,Cabling,2463
6110,170055888,12420,12420,E-Rate Central,whimsworth@e-ratecentral.com,Consortium,GARDEN CITY,NY,40,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6111,170074785,10418,10418,Mondavi Design,dclark@mondavi-design.com,Consortium,SPENCERPORT,NY,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6112,170075436,5390,5390,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Internal Connections,Wap,0
6113,170057111,2592,2592,E Rate Solutions Group Inc,kweiss@erategroup.com,School District,OLEAN,NY,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6114,170064388,65746,0,E-Rate Consulting Llc,richard@erateconsulting.org,School,ELMHURST,NY,85,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,65746
6115,170078999,2240,2240,E-Rate Partners Llc,jessica.nilsen@eratepartners.com,School District,CASTLETON,NY,20,Basic Maintenance Of Internal Connections,Switches,0
6116,170069549,4902,4902,Mondavi Design,dclark@mondavi-design.com,School,ROCHESTER,NY,60,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6117,170075436,17864,11310,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Internal Connections,Wireless Controller,6554
6118,170078503,25302,16868,Teletech Associates Inc,john@teletechassociates.com,School,JAMAICA,NY,40,Internal Connections,Router,8434
6119,170053829,2592,2592,E-Rate Advantage,rjs@erateadvantage.com,School,BROOKLYN,NY,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
6120,170075098,13942,0,Funds For Learning,jharrington@fundsforlearning.com,School District,NEW YORK,NY,80,Basic Maintenance Of Internal Connections,Firewall Service And Components,13942
6121,170073649,4928,4928,Erate Compliance,info@eratecompliance.com,School District,WYANDANCH,NY,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
6122,170047883,28717,13335,"E2e Exchange, Llc",sdp@erateexchange.com,School District,YORKTOWN HTS,NY,50,Internal Connections,Racks,15382
6123,170075436,4512,4512,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Internal Connections,Cabling,0
6124,170075436,580,0,E-Rate Online Llc,msagnella@erateportal.com,School District,BROOKLYN,NY,85,Internal Connections,Wap,580
6125,170076231,1080,1080,E-Rate Partners Llc,jessica.nilsen@eratepartners.com,Consortium,ELMIRA,NY,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
6126,170047337,1147,956,"E2e Exchange, Llc",sdp@erateexchange.com,School District,CHAPPAQUA,NY,40,Internal Connections,Firewall Service And Components,191
6127,170047883,910,910,"E2e Exchange, Llc",sdp@erateexchange.com,School District,YORKTOWN HTS,NY,80,Internal Connections,Wap,0
6128,170047515,19881,19881,"E2e Exchange, Llc",sdp@erateexchange.com,School District,COLD SPRING,NY,50,Basic Maintenance Of Internal Connections,Racks,0
6129,170061663,21853,16403,Teletech Associates Inc,john@teletechassociates.com,School,FLUSHING,NY,40,Internal Connections,Racks,5450
6130,170047543,13777,13777,"E2e Exchange, Llc",sdp@erateexchange.com,School District,HASTINGS HDSN,NY,30,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
6131,170075098,13942,0,Funds For Learning,jharrington@fundsforlearning.com,School District,NEW YORK,NY,80,Basic Maintenance Of Internal Connections,Cabling,13942
